Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2020,7,1,     0.0,     0.0,     0.0,     0.0,    28.8,    31.6,    27.3,    10.0,    29.6
Changi,2020,7,2,     0.0,     0.0,     0.0,     0.0,    28.9,    31.7,    27.3,    12.3,    33.3
Changi,2020,7,3,     0.0,     0.0,     0.0,     0.0,    29.6,    32.4,    27.8,    13.4,    33.3
Changi,2020,7,4,     2.0,     2.0,     2.0,     2.0,    28.8,    32.2,    24.6,    12.8,    33.3
Changi,2020,7,5,     0.0,     0.0,     0.0,     0.0,    27.9,    32.0,    25.8,     7.6,    31.5
Changi,2020,7,6,     0.2,     0.2,     0.2,     0.2,    29.0,    32.1,    27.0,    14.0,    37.0
Changi,2020,7,7,     0.4,     0.2,     0.2,     0.2,    27.9,    31.2,    26.1,     6.1,    31.5
Changi,2020,7,8,    18.8,    14.2,    18.2,    18.8,    27.1,    30.7,    24.5,     4.5,    31.5
Changi,2020,7,9,     1.6,     0.6,     1.0,     1.0,    26.3,    28.2,    24.9,     8.0,    33.3
Changi,2020,7,10,     0.4,     0.4,     0.4,     0.4,    27.2,    29.8,    25.1,     6.9,    22.2
Changi,2020,7,11,     1.6,     1.0,     1.0,     1.4,    27.4,    29.9,    25.5,     6.3,    29.6
Changi,2020,7,12,     0.2,     0.2,     0.2,     0.2,    28.7,    31.2,    25.9,     8.0,    35.2
Changi,2020,7,13,    10.2,     4.0,     4.0,     5.2,    26.2,    30.5,    24.9,     7.3,    31.5
Changi,2020,7,14,     0.0,     0.0,     0.0,     0.0,    27.1,    28.5,    25.8,     7.4,    29.6
Changi,2020,7,15,     3.0,     2.4,     2.6,     3.0,    27.6,    30.8,    26.3,     6.6,    24.1
Changi,2020,7,16,     3.8,-,-,-,    28.2,    32.2,    25.6,     7.7,    35.2
Changi,2020,7,17,     0.0,     0.0,     0.0,     0.0,    28.8,    32.0,    25.9,     7.3,    25.9
Changi,2020,7,18,     0.2,     0.2,     0.2,     0.2,    27.8,    31.0,    26.5,     7.9,    31.5
Changi,2020,7,19,     0.0,     0.0,     0.0,     0.0,    28.5,    31.6,    25.6,     9.0,    31.5
Changi,2020,7,20,     0.0,     0.0,     0.0,     0.0,    29.1,    32.1,    26.5,    12.7,    33.3
Changi,2020,7,21,     0.0,     0.0,     0.0,     0.0,    28.9,    32.5,    27.0,    10.6,    33.3
Changi,2020,7,22,    30.4,    24.0,    30.4,    30.4,    28.0,    30.3,    24.2,     5.8,    22.2
Changi,2020,7,23,     3.8,     1.6,     2.4,     3.6,    27.8,    30.8,    23.7,     6.3,    35.2
Changi,2020,7,24,     7.2,     6.6,     6.6,     7.0,    27.8,    30.6,    24.3,     8.2,    33.3
Changi,2020,7,25,    11.6,    11.2,    11.2,    11.2,    27.2,    31.3,    24.6,     8.5,    53.7
Changi,2020,7,26,     1.6,     1.4,     1.6,     1.6,    27.7,    31.1,    25.6,    12.1,    53.7
Changi,2020,7,27,    22.2,    11.4,    11.4,    19.6,    27.3,    30.1,    23.9,     9.1,    42.6
Changi,2020,7,28,     2.4,     2.2,     2.2,     2.2,    28.1,    30.3,    25.8,     8.8,    33.3
Changi,2020,7,29,    16.8,    10.8,    13.2,    14.0,    26.2,    29.2,    23.9,     4.1,    31.5
Changi,2020,7,30,     0.6,     0.4,     0.4,     0.6,    28.2,    31.6,    25.3,     7.9,-
Changi,2020,7,31,     1.8,     1.8,     1.8,     1.8,    28.4,    30.9,    24.8,     9.8,    31.5
