Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2021,8,1,    20.4,    11.0,    18.0,    20.4,    27.7,    30.9,    23.1,     4.6,    42.6
Changi,2021,8,2,     0.2,     0.2,     0.2,     0.2,    28.5,    32.9,    26.4,     6.6,    29.6
Changi,2021,8,3,     7.2,     6.2,     6.8,     7.2,    28.4,    32.2,    23.2,    10.2,    50.0
Changi,2021,8,4,     1.4,     1.0,     1.2,     1.2,    27.2,    28.7,    23.8,     6.6,    37.0
Changi,2021,8,5,     0.0,     0.0,     0.0,     0.0,    28.9,    32.0,    27.0,     9.1,    33.3
Changi,2021,8,6,     0.0,     0.0,     0.0,     0.0,    28.7,    32.3,    26.2,    10.4,    33.3
Changi,2021,8,7,     1.8,     1.6,     1.6,     1.8,    28.7,    32.4,    26.2,    10.0,    29.6
Changi,2021,8,8,     0.4,     0.2,     0.2,     0.2,    27.5,    32.4,    25.5,     6.8,    35.2
Changi,2021,8,9,     0.0,     0.0,     0.0,     0.0,    28.7,    32.6,    24.7,     7.2,    29.6
Changi,2021,8,10,     0.0,     0.0,     0.0,     0.0,    29.4,    32.5,    27.3,     8.6,    40.7
Changi,2021,8,11,     1.6,     1.0,     1.0,     1.0,    28.7,    31.5,    25.4,     7.4,    37.0
Changi,2021,8,12,     7.0,     6.4,     6.4,     6.4,    28.5,    32.2,    24.9,     9.9,    35.2
Changi,2021,8,13,     0.2,     0.2,     0.2,     0.2,    28.0,    31.3,    26.4,     8.1,    46.3
Changi,2021,8,14,    16.6,    13.0,    13.0,    13.0,    27.4,    31.3,    23.6,     6.8,    44.4
Changi,2021,8,15,     3.0,     1.6,     2.2,     2.8,    27.9,    31.3,    24.6,     8.6,    57.4
Changi,2021,8,16,     0.4,     0.4,     1.2,     2.8,    27.8,    32.3,    24.5,     7.5,    27.8
Changi,2021,8,17,     5.0,     1.6,     2.8,     4.2,    26.9,    30.5,    25.3,     5.2,    25.9
Changi,2021,8,18,     3.2,     1.2,     2.0,     2.8,    26.4,    28.1,    25.0,     4.6,    24.1
Changi,2021,8,19,    29.4,    10.2,    11.2,    15.0,    27.3,    31.7,    23.1,     8.3,    31.5
Changi,2021,8,20,    71.4,    24.0,    31.4,    52.0,    25.5,    27.7,    21.9,     5.4,    31.5
Changi,2021,8,21,     0.6,     0.4,     0.4,     0.4,    27.5,    29.6,    25.2,     7.9,    24.1
Changi,2021,8,22,    15.2,     2.0,     4.0,     6.8,    26.6,    31.0,    25.4,     8.0,    55.6
Changi,2021,8,23,     0.0,     0.0,     0.0,     0.0,    27.5,    30.5,    24.7,     7.3,    29.6
Changi,2021,8,24,    13.2,     2.6,     3.0,     5.0,    25.8,    27.6,    23.7,     6.6,    24.1
Changi,2021,8,25,     0.2,     0.2,     0.2,     0.2,    26.3,    28.3,    24.3,     8.9,    35.2
Changi,2021,8,26,    18.0,    16.4,    17.4,    18.0,    27.3,    31.4,    23.9,     7.8,    51.9
Changi,2021,8,27,     0.0,     0.0,     0.0,     0.0,    27.6,    31.5,    25.1,    10.9,    37.0
Changi,2021,8,28,     0.0,     0.0,     0.0,     0.0,    28.8,    31.8,    26.9,    11.3,    33.3
Changi,2021,8,29,    18.6,     9.6,     9.8,     9.8,    26.7,    31.0,    23.8,     7.9,    33.3
Changi,2021,8,30,    39.8,    10.6,    15.0,    23.8,    25.9,    28.3,    23.4,     6.5,    29.6
Changi,2021,8,31,    18.8,     8.8,    10.0,    14.8,    27.1,    31.8,    23.9,     5.6,    33.3
