Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2021,9,1,     5.6,     4.4,     5.4,     5.6,    28.0,    31.9,    24.8,     8.3,    40.7
Changi,2021,9,2,    63.4,    31.4,    49.0,    55.8,    25.7,    27.5,    22.9,     7.5,    42.6
Changi,2021,9,3,     0.0,     0.0,     0.0,     0.0,    28.2,    31.9,    25.3,     7.8,    29.6
Changi,2021,9,4,     0.0,     0.0,     0.0,     0.0,    28.6,    32.2,    25.9,    12.0,    35.2
Changi,2021,9,5,     0.0,     0.0,     0.0,     0.0,    28.6,    32.3,    26.7,    11.3,    35.2
Changi,2021,9,6,    29.8,    29.2,    29.8,    29.8,    28.1,    32.9,    23.0,     7.7,    50.0
Changi,2021,9,7,     0.0,     0.0,     0.0,     0.0,    28.6,    32.7,    26.0,     6.0,    29.6
Changi,2021,9,8,    16.2,    15.8,    16.2,    16.2,    28.0,    31.0,    22.5,     9.2,    35.2
Changi,2021,9,9,     0.2,     0.2,     0.2,     0.2,    28.8,    31.6,    26.9,     8.2,    31.5
Changi,2021,9,10,     0.0,    10.2,    14.8,    17.2,    27.5,    29.8,    23.6,     7.5,    27.8
Changi,2021,9,11,     0.0,     0.0,     0.0,     0.0,    28.6,    31.8,    26.1,     9.0,    31.5
Changi,2021,9,12,     0.2,     0.2,     0.2,     0.2,    28.9,    32.0,    27.2,     6.8,    27.8
Changi,2021,9,13,     3.8,     2.8,     3.0,     3.2,    27.1,    28.9,    25.4,     5.0,    27.8
Changi,2021,9,14,     0.0,     0.0,     0.0,     0.0,    28.3,    30.7,    26.9,     8.0,    22.2
Changi,2021,9,15,     0.0,     0.0,     0.0,     0.0,    28.8,    32.5,    26.6,    12.0,    35.2
Changi,2021,9,16,     0.0,     0.0,     0.0,     0.0,    28.9,    32.5,    26.9,    13.3,    38.9
Changi,2021,9,17,     0.0,     0.0,     0.0,     0.0,    29.2,    32.8,    26.7,    12.1,    38.9
Changi,2021,9,18,     0.0,     0.0,     0.0,     0.0,    28.9,    32.7,    27.0,    10.4,    35.2
Changi,2021,9,19,     0.0,     0.0,     0.0,     0.0,    28.1,    30.2,    26.1,     7.9,    44.4
Changi,2021,9,20,     0.0,     0.0,     0.0,     0.0,    29.0,    32.1,    26.3,     8.6,    31.5
Changi,2021,9,21,     0.4,     0.4,     0.4,     0.4,    29.4,    32.4,    27.4,     9.8,    29.6
Changi,2021,9,22,     0.0,     0.0,     0.0,     0.0,    29.0,    32.1,    25.8,     7.6,    27.8
Changi,2021,9,23,     6.8,     5.4,     6.6,     6.8,    28.6,    31.3,    24.3,     8.3,    38.9
Changi,2021,9,24,     0.0,     0.0,     0.0,     0.0,    29.0,    32.8,    27.2,     7.8,    35.2
Changi,2021,9,25,     0.6,     0.4,     0.6,     0.6,    28.8,    32.9,    26.8,     6.9,    44.4
Changi,2021,9,26,    24.6,    13.0,    15.0,    15.0,    28.9,    33.3,    23.5,     9.3,    42.6
Changi,2021,9,27,     4.8,     2.6,    15.0,    15.2,    27.1,    33.0,    24.6,     5.6,    29.6
Changi,2021,9,28,     2.0,     2.0,     2.0,     2.0,    27.4,    32.4,    24.6,     4.6,    22.2
Changi,2021,9,29,     0.0,     0.0,     0.0,     0.0,    28.4,    32.6,    25.5,     5.2,    35.2
Changi,2021,9,30,    47.0,    15.6,    26.8,    38.0,    26.5,    28.3,    24.5,     5.9,    27.8
