Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2020,12,1,     0.2,     0.2,     0.2,     0.2,    28.6,    33.5,    25.3,     5.0,    20.4
Changi,2020,12,2,     4.6,     4.4,     4.6,     4.6,    27.6,    31.6,    24.3,     4.8,-
Changi,2020,12,3,    17.6,    12.6,    12.8,    15.4,    26.7,    32.9,    24.4,    11.3,    37.0
Changi,2020,12,4,     0.4,     0.4,     0.4,     0.4,    26.6,    31.0,    24.4,    14.4,    29.6
Changi,2020,12,5,     0.0,     0.0,     0.0,     0.0,    26.8,    31.2,    25.4,    18.8,-
Changi,2020,12,6,     0.0,     0.0,     0.0,     0.0,    28.0,    32.0,    25.5,    21.4,    33.3
Changi,2020,12,7,     9.8,     9.4,     9.4,     9.8,    27.8,    32.5,    24.2,    18.1,    31.5
Changi,2020,12,8,     0.0,     0.0,     0.0,     0.0,    28.0,    32.6,    25.6,    16.9,-
Changi,2020,12,9,    58.2,    46.2,    52.8,    54.6,    27.2,    32.0,    23.8,    15.1,    42.6
Changi,2020,12,10,    42.2,    35.4,    39.0,    40.4,    26.3,    32.8,    23.5,     8.0,    33.3
Changi,2020,12,11,     0.0,     0.2,     0.2,     0.2,    27.8,    32.7,    23.6,     5.9,    31.5
Changi,2020,12,12,    30.0,    13.4,    17.2,    25.6,    26.2,    31.4,    23.0,     7.1,    35.2
Changi,2020,12,13,     1.8,     0.6,     0.8,     0.8,    27.0,    31.7,    23.7,     6.6,    29.6
Changi,2020,12,14,    20.6,     8.4,    13.4,    15.4,    26.4,    31.9,    23.4,     5.6,    27.8
Changi,2020,12,15,     0.0,     0.0,     0.0,     0.0,    27.2,    31.9,    24.5,     6.9,    31.5
Changi,2020,12,16,    12.2,     6.2,     7.4,     7.4,    25.9,    29.5,    24.2,     4.8,    31.5
Changi,2020,12,17,     0.0,     0.0,     0.0,     0.0,    26.7,    31.1,    24.7,     6.4,    25.9
Changi,2020,12,18,    19.4,    11.6,    13.8,    14.0,    25.5,    27.0,    23.0,     5.3,    31.5
Changi,2020,12,19,     0.6,     0.6,     0.6,     0.6,    26.6,    30.2,    24.5,     6.9,    24.1
Changi,2020,12,20,     1.6,     1.4,     1.6,     1.6,    26.9,    31.4,    24.8,     8.4,    31.5
Changi,2020,12,21,     0.0,     0.0,     0.0,     0.0,    27.3,    31.1,    25.2,     6.3,    31.5
Changi,2020,12,22,     0.0,     0.0,     0.0,     0.0,    28.0,    32.4,    25.1,     8.1,    27.8
Changi,2020,12,23,     5.6,     2.8,     3.6,     3.6,    27.6,    32.7,    25.4,     6.8,    29.6
Changi,2020,12,24,     7.6,     4.6,     7.4,     7.6,    26.8,    29.5,    24.3,     4.6,    20.4
Changi,2020,12,25,    14.2,    13.8,    14.0,    14.2,    28.0,    32.5,    25.1,     9.0,    29.6
Changi,2020,12,26,     1.2,     1.0,     1.2,     1.2,    27.5,    31.5,    23.9,    10.4,    31.5
Changi,2020,12,27,     2.2,     2.0,     2.2,     2.2,    27.2,    31.8,    24.1,     9.4,    27.8
Changi,2020,12,28,     0.0,     0.0,     0.0,     0.0,    28.1,    31.7,    26.0,    12.5,    35.2
Changi,2020,12,29,     3.2,     2.6,     2.6,     2.6,    26.6,    30.3,    24.9,     6.0,    25.9
Changi,2020,12,30,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    25.1,    10.1,    33.3
Changi,2020,12,31,     0.0,     0.0,     0.0,     0.0,    27.7,    31.7,    25.3,     9.6,    35.2
