Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2021,6,1,     0.0,     0.0,     0.0,     0.0,    29.2,    32.3,    27.7,     7.1,    46.3
Changi,2021,6,2,     0.4,     0.4,     0.4,     0.4,    29.3,    32.5,    27.4,    11.0,    35.2
Changi,2021,6,3,     1.2,     1.2,     1.2,     1.2,    29.6,    32.5,    27.3,    11.1,    40.7
Changi,2021,6,4,     0.0,     0.0,     0.0,     0.0,    30.0,    33.7,    27.5,     9.3,    35.2
Changi,2021,6,5,     0.6,     0.4,     0.4,     0.4,    29.6,    32.4,    27.0,     6.9,    35.2
Changi,2021,6,6,     0.0,     0.0,     0.0,     0.0,    29.7,    33.0,    26.6,     7.0,    25.9
Changi,2021,6,7,     0.8,     0.4,     0.4,     0.8,    29.6,    32.1,    27.3,    10.0,    33.3
Changi,2021,6,8,     0.0,     0.0,     0.0,     0.0,    29.3,    32.0,    26.3,     8.3,    33.3
Changi,2021,6,9,     2.4,     1.8,     2.4,     2.4,    28.8,    31.3,    25.8,     5.3,    31.5
Changi,2021,6,10,     1.0,     0.6,     0.8,     1.0,    28.0,    32.5,    25.8,     6.5,    31.5
Changi,2021,6,11,     0.2,     0.2,     0.2,     0.2,    28.5,    31.4,    25.5,     7.0,    31.5
Changi,2021,6,12,     3.6,     3.4,     3.4,     3.4,    28.7,    32.9,    25.0,     9.1,    46.3
Changi,2021,6,13,    15.2,    14.0,    15.2,    15.2,    28.4,    31.7,    23.6,     8.9,    44.4
Changi,2021,6,14,     0.0,     0.0,     0.0,     0.0,    29.0,    33.0,    26.2,     7.0,    37.0
Changi,2021,6,15,     1.8,     1.8,     1.8,     1.8,    27.6,    31.8,    25.4,     6.1,    38.9
Changi,2021,6,16,     0.0,     0.0,     0.0,     0.0,    28.1,    31.7,    25.2,     5.3,    18.5
Changi,2021,6,17,     0.0,     0.0,     0.0,     0.0,    29.0,    32.9,    25.8,     7.9,    42.6
Changi,2021,6,18,    23.8,    14.8,    16.0,    17.6,    26.6,    29.5,    23.4,     4.5,    35.2
Changi,2021,6,19,     0.0,     0.0,     0.0,     0.0,    28.2,    32.6,    25.9,     5.0,    22.2
Changi,2021,6,20,     1.6,     0.8,     1.2,     1.6,    27.4,    31.8,    23.5,     6.5,    38.9
Changi,2021,6,21,     0.2,     0.2,     0.2,     0.2,    28.6,    32.8,    24.7,     6.2,    25.9
Changi,2021,6,22,     0.2,     0.2,     0.2,     0.2,    28.4,    31.5,    24.9,     6.9,    33.3
Changi,2021,6,23,     0.0,     0.0,     0.0,     0.0,    29.0,    33.6,    25.3,     6.3,    29.6
Changi,2021,6,24,     6.8,     4.2,     4.8,     5.6,    28.2,    32.9,    24.3,     5.9,    31.5
Changi,2021,6,25,     6.2,     5.2,     6.2,     6.2,    27.4,    31.6,    25.8,     4.9,    29.6
Changi,2021,6,26,    11.4,     5.4,     8.8,    11.4,    27.8,    31.9,    24.0,     5.2,    31.5
Changi,2021,6,27,     0.4,     0.4,     0.4,     0.4,    27.5,    29.6,    26.3,     4.6,    24.1
Changi,2021,6,28,     0.2,     0.2,     0.2,     0.2,    28.8,    32.0,    26.1,     7.9,    29.6
Changi,2021,6,29,    15.4,     8.0,    10.2,    11.6,    27.6,    32.3,    23.9,     5.8,    25.9
Changi,2021,6,30,     0.0,     0.0,     0.2,     1.6,    28.1,    32.3,    24.4,     6.6,    25.9
