Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2021,3,1,     0.0,     0.0,     0.0,     0.0,    28.3,    34.2,    25.4,    10.3,    27.8
Changi,2021,3,2,     0.0,     0.0,     0.0,     0.0,    28.3,    33.8,    25.3,    13.5,    35.2
Changi,2021,3,3,     0.0,     0.0,     0.0,     0.0,    28.5,    33.0,    25.6,    11.7,    37.0
Changi,2021,3,4,     0.0,     0.0,     0.0,     0.0,    28.5,    33.3,    25.4,    13.0,    38.9
Changi,2021,3,5,     0.0,     0.0,     0.0,     0.0,    28.8,    34.0,    26.2,    14.0,    35.2
Changi,2021,3,6,     0.0,     0.0,     0.0,     0.0,    28.8,    33.7,    26.1,    16.0,    40.7
Changi,2021,3,7,    36.4,    28.2,    33.4,    35.2,    26.5,    33.6,    23.0,     8.7,    35.2
Changi,2021,3,8,     0.0,     0.2,     0.2,     0.2,    27.7,    33.3,    23.7,    11.8,    35.2
Changi,2021,3,9,     0.0,     0.0,     0.0,     0.0,    28.0,    32.8,    24.9,    13.3,    38.9
Changi,2021,3,10,     0.0,     0.0,     0.0,     0.0,    28.1,    33.1,    24.7,    12.7,    40.7
Changi,2021,3,11,     0.0,     0.0,     0.0,     0.0,    28.3,    33.0,    25.0,    12.2,    37.0
Changi,2021,3,12,     3.8,     2.2,     2.4,     2.4,    27.4,    30.9,    24.6,     6.3,    29.6
Changi,2021,3,13,     0.0,     0.0,     0.0,     0.0,    28.0,    33.2,    24.8,    10.3,    29.6
Changi,2021,3,14,    12.0,     5.6,     7.0,    12.0,    27.5,    32.0,    24.8,     9.6,    29.6
Changi,2021,3,15,    19.4,    18.6,    19.4,    19.4,    27.7,    32.9,    24.0,    12.3,    31.5
Changi,2021,3,16,     1.4,     1.4,     1.4,     1.4,    28.0,    31.9,    25.5,    10.5,    25.9
Changi,2021,3,17,     0.6,     0.4,     0.6,     0.6,    27.5,    32.7,    24.7,     7.3,    33.3
Changi,2021,3,18,     0.0,     0.0,     0.0,     0.0,    28.1,    33.1,    26.0,     8.0,    29.6
Changi,2021,3,19,     0.0,     0.0,     0.0,     0.0,    28.7,    33.2,    26.0,     9.7,    29.6
Changi,2021,3,20,     0.6,     0.4,     0.6,     0.6,    28.0,    32.6,    26.2,     9.0,    35.2
Changi,2021,3,21,     0.0,     0.0,     0.0,     0.0,    28.9,    33.5,    25.6,     9.0,    29.6
Changi,2021,3,22,     0.0,     0.0,     0.0,     0.0,    28.6,    33.5,    25.7,    12.9,    48.2
Changi,2021,3,23,     1.2,     0.8,     0.8,     0.8,    28.0,    33.2,    25.3,    10.2,    35.2
Changi,2021,3,24,    38.0,    10.2,    17.0,    22.2,    25.7,    30.6,    24.3,     5.2,    33.3
Changi,2021,3,25,     1.6,     1.2,     1.4,     1.4,    26.2,    29.2,    24.5,     7.3,    27.8
Changi,2021,3,26,     0.0,     0.0,     0.0,     0.0,    28.3,    32.3,    25.8,    10.0,    31.5
Changi,2021,3,27,    13.2,     5.2,     9.2,    13.2,    27.1,    31.3,    24.1,     6.2,    38.9
Changi,2021,3,28,     0.0,     0.0,     0.0,     0.0,    28.4,    33.0,    25.0,     6.3,    24.1
Changi,2021,3,29,     8.8,     5.0,     8.4,     8.8,    27.5,    32.5,    24.8,     6.8,    24.1
Changi,2021,3,30,    11.8,    11.6,    11.8,    11.8,    27.7,    32.9,    25.1,     5.0,    29.6
Changi,2021,3,31,    33.6,    16.8,    26.8,    33.0,    28.5,    34.0,    23.3,     7.3,    35.2
