Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2021,12,1,     0.2,     0.2,     0.2,     0.2,    29.6,    33.9,    26.6,     8.3,    24.1
Changi,2021,12,2,    14.2,     5.8,     9.6,    12.6,    26.2,    28.6,    22.9,     6.1,    40.7
Changi,2021,12,3,     0.2,     0.2,     0.2,     0.2,    27.2,    32.0,    24.8,     6.8,    27.8
Changi,2021,12,4,     0.0,     0.0,     0.0,     0.0,    27.5,    31.2,    25.5,     9.0,    38.9
Changi,2021,12,5,     0.0,     0.0,     0.0,     0.0,    27.3,    30.7,    26.0,     8.5,    35.2
Changi,2021,12,6,     0.0,     0.0,     0.0,     0.0,    27.8,    31.5,    25.9,     8.6,    31.5
Changi,2021,12,7,     0.0,     0.0,     0.0,     0.0,    28.1,    31.8,    25.7,    10.9,    38.9
Changi,2021,12,8,     0.0,     0.0,     0.0,     0.0,    28.0,    31.2,    25.9,    11.8,    44.4
Changi,2021,12,9,     0.0,     0.0,     0.0,     0.0,    28.2,    32.0,    25.6,    11.7,    37.0
Changi,2021,12,10,     6.4,     4.0,     5.0,     6.0,    27.4,    31.9,    25.1,     8.9,    35.2
Changi,2021,12,11,     8.2,     4.2,     6.4,     6.6,    27.0,    31.2,    25.5,     7.6,    31.5
Changi,2021,12,12,     0.0,     0.0,     0.0,     0.0,    26.7,    29.7,    25.8,     7.6,    25.9
Changi,2021,12,13,     0.2,     0.2,     0.2,     0.2,    26.9,    29.8,    25.2,     8.1,    40.7
Changi,2021,12,14,     0.0,     0.0,     0.0,     0.0,    28.0,    31.7,    25.8,     8.9,    31.5
Changi,2021,12,15,     0.6,     0.6,     0.6,     0.6,    27.9,    31.9,    26.0,     7.5,    35.2
Changi,2021,12,16,     0.0,     0.0,     0.0,     0.0,    28.9,    33.3,    26.1,     7.4,    29.6
Changi,2021,12,17,     9.4,     3.2,     5.2,     6.2,    27.5,    31.7,    25.5,     8.5,    44.4
Changi,2021,12,18,    46.8,    39.8,    41.4,    41.8,    27.6,    31.6,    24.3,     5.7,    24.1
Changi,2021,12,19,    15.2,     7.6,    11.0,    13.6,    27.3,    31.4,    23.9,     6.5,    35.2
Changi,2021,12,20,     0.0,     0.0,     0.0,     0.0,    27.6,    31.9,    24.9,     7.3,    22.2
Changi,2021,12,21,     0.0,     0.0,     0.0,     0.0,    28.2,    32.0,    25.8,    10.3,    29.6
Changi,2021,12,22,     0.0,     0.0,     0.0,     0.0,    27.9,    32.4,    26.3,     7.9,    27.8
Changi,2021,12,23,     0.4,     0.2,     0.4,     0.4,    27.4,    29.9,    25.9,     5.4,    20.4
Changi,2021,12,24,     8.8,     4.6,     6.2,     6.2,    27.4,    31.3,    25.6,     7.6,    29.6
Changi,2021,12,25,     1.4,     1.4,     1.4,     1.4,    27.9,    31.3,    26.3,    11.0,    35.2
Changi,2021,12,26,     0.0,     0.0,     0.0,     0.0,    28.1,    31.7,    25.7,     9.9,    31.5
Changi,2021,12,27,     0.0,     0.0,     0.0,     0.0,    28.3,    32.5,    25.7,    10.6,    35.2
Changi,2021,12,28,     0.0,     0.0,     0.0,     0.0,    28.1,    32.4,    25.4,    10.9,    31.5
Changi,2021,12,29,     0.6,     0.6,     0.6,     0.6,    28.0,    31.8,    25.5,     8.5,    25.9
Changi,2021,12,30,     0.0,     0.0,     0.0,     0.0,    27.9,    31.0,    25.8,     7.7,    25.9
Changi,2021,12,31,     7.0,     2.6,     2.8,     3.0,    26.1,    28.4,    23.8,     7.1,    35.2
